2022-11-21 17:27:47,834 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 5.211/5.211/5.211/0.000 ms
2022-11-21 17:27:49,085 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 3.817/3.817/3.817/0.000 ms
2022-11-21 17:27:50,349 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 4.731/4.731/4.731/0.000 ms
2022-11-21 17:27:51,589 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 4.599/4.599/4.599/0.000 ms
2022-11-21 17:27:52,831 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 9.390/9.390/9.390/0.000 ms
2022-11-21 17:27:54,123 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 15.756/15.756/15.756/0.000 ms
2022-11-21 17:27:55,421 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 14.877/14.877/14.877/0.000 ms
2022-11-21 17:27:56,671 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 11.648/11.648/11.648/0.000 ms
2022-11-21 17:27:57,914 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 9.422/9.422/9.422/0.000 ms
2022-11-21 17:27:59,144 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 5.026/5.026/5.026/0.000 ms
2022-11-21 17:28:00,397 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 9.623/9.623/9.623/0.000 ms
2022-11-21 17:28:01,628 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 8.095/8.095/8.095/0.000 ms
2022-11-21 17:28:02,861 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 8.732/8.732/8.732/0.000 ms
2022-11-21 17:28:04,121 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 14.018/14.018/14.018/0.000 ms
2022-11-21 17:28:05,374 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 7.985/7.985/7.985/0.000 ms
2022-11-21 17:28:06,617 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 11.930/11.930/11.930/0.000 ms
2022-11-21 17:28:07,854 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 5.871/5.871/5.871/0.000 ms
2022-11-21 17:28:09,088 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 10.458/10.458/10.458/0.000 ms
2022-11-21 17:28:10,368 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 13.318/13.318/13.318/0.000 ms
2022-11-21 17:28:11,594 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 5.964/5.964/5.964/0.000 ms
2022-11-21 17:28:12,857 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 11.811/11.811/11.811/0.000 ms
